a	2 709D 64C0
ai4ping2	1 7231840D
ai4qi1	1 723159BB
ai4qing2	1 723160C5
ai4quan3	1 723172AC
ai4ren2	1 72314EBA
ai4shang4	1 72314E0A
ai4she4	1 7231793E
ai4shen2	1 7231795E
ai4sheng1	1 7231751F
ai4shi4	1 788D4E8B
ai4si1ji1mo2	1 723165AF57FA6469
ai4te4ma3tuo1fu1	1 827E7279739B6258592B
ai4wu3	1 72316B66
ai4xi2	1 723160DC
ai4xin1	1 72315FC3
ai4yi4	1 7231610F
ai4yin1si1tan3	1 723156E065AF5766
ai4zi	1 72315B50
ai4zi1bing4	1 827E6ECB75C5
an1	15  5B89 5EB5 6C28 978D 8C19 9E4C 6849 9B9F 95C7 9D95 76E6 76EB 97FD 88FA 9D33
an1an1jing4jing4	1 5B895B8997599759
an1an1wen3wen3	1 5B895B897A337A33
an1an1xin1xin1	1 5B895B895FC35FC3
an1ba1	1 5B895DF4
an1bao3	2 5B894FDD 5B895B9D
an1bei4	1 5B89500D
an1bei4jin4tai4lang2	1 5B89500D664B592A90CE
an1cha1	1 5B8963D2
an1cheng2	1 5B896210
an1chun2	1 9E4C9E51
an1di4yuan2	1 5B895E1D5143
an1ding4	1 5B895B9A
an1ding4tuan2jie2	1 5B895B9A56E27ED3
an1dong1	1 5B894E1C
an1du4	1 5B895EA6
an1dun4	1 5B89987F
an1fang4	1 5B89653E
an1fen1	1 5B895206
an1gang1	1 978D94A2
an1ge1la1	1 5B8954E562C9
an1hao3	1 5B89597D
an1hui1	1 5B895FBD
an1hui1sheng3	1 5B895FBD7701
an1hun2qu1	1 5B899B4266F2
an1ji1suan1	1 6C2857FA9178
an1jia1	1 5B895BB6
an1jia1fei4	1 5B895BB68D39
an1jing4	1 5B899759
an1ju1	1 5B895C45
an1ju1le4ye4	1 5B895C454E504E1A
an1kang1	1 5B895EB7
an1la1	1 5B8962C9
an1lan2	1 5B896F9C
an1le4	1 5B894E50
an1le4si3	1 5B894E506B7B
an1le4wo1	1 5B894E507A9D
an1li3hui4	1 5B8974064F1A
an1lun2	1 5B894F26
an1man4	1 5B8966FC
an1meng2	1 5B8976DF
an1mi4	1 5B898C27
an1mian2	1 5B897720
an1mian2yao4	1 5B897720836F
an1min2	1 5B896C11
an1ning2	1 5B895B81
an1pai2	1 5B896392
an1ping2	1 5B895E73
an1qi2	1 5B89742A
an1qing4	1 5B895E86
an1quan2	1 5B895168
an1quan2dai4	1 5B8951685E26
an1quan2gan3	1 5B895168611F
an1quan2mao4	1 5B8951685E3D
an1quan2xi4shu4	1 5B8951687CFB6570
an1quan2xing4	1 5B8951686027
an1ran2	1 5B897136
an1ran2wu2yang4	1 5B89713665E06059
an1sai1	1 5B89585E
an1shan1	1 978D5C71
an1shang4	1 5B894E0A
an1shen1	1 5B898EAB
an1shen1zhi1di4	1 5B898EAB4E4B5730
an1shen2	1 5B89795E
an1sheng1	1 5B89751F
an1shi2	1 5B8977F3
an1shi4	1 5B899002
an1shui4	1 5B897761
an1tu2sheng1	1 5B895F92751F
an1wei2	1 5B895371
an1wei4	1 5B896170
an1wen3	1 5B897A33
an1xi1	1 5B896EAA
an1xi2	1 5B89606F
an1xiang2	1 5B898BE6
an1xie1	1 5B896B47
an1xin1	1 5B895FC3
an1xiu1	1 5B894FEE
an1yang2	1 5B899633
an1yang2shi4	1 5B8996335E02
an1yi4	2 5B899038 5B895FC6
an1yong3	1 5B896C38
an1yu2	1 5B894E8E
an1yu2xian4zhuang4	1 5B894E8E73B072B6
an1zang4	1 5B89846C
an1zhi4	1 5B897F6E
an1zhuang1	1 5B8988C5
an1zi	1 978D5B50
an3	5  4FFA 94F5 57EF 63DE 7F6F
an3men	1 4FFA4EEC
an4	8  6848 6309 6697 5CB8 9EEF 80FA 72B4 8C8B
an4an4	2 66976697 63096309
an4ban3	1 6848677F
an4bian1	1 5CB88FB9
an4bing1bu4dong4	1 630951754E0D52A8
an4bu4jiu4ban1	1 630990E85C3173ED
an4cang2	1 669785CF
an4chang1	1 66975A3C
an4chu4	1 66975904
an4dan4	2 9EEF6DE1 66976DE1
an4di4li3	1 6697573091CC
an4fa1	1 684853D1
an4fan4	1 684872AF
an4fang3	1 66978BBF
an4hao4	1 669753F7
an4ji4hua4	1 63098BA15212
an4jian4	2 68484EF6 6309952E
an4jiao1	1 66977901
an4juan3	1 68485377
an4lao2fen1pei4	1 630952B35206914D
an4lao2qu3chou2	1 630952B353D6916C
an4li3	1 63097406
an4li3shuo1	1 630974068BF4
an4li4	1 68484F8B
an4liu2	1 66976D41
an4long2	1 5CB89F99
an4men2	1 669795E8
an4mo2	1 63096469
an4na4bu4zhu4	1 6309637A4E0D4F4F
an4niu3	1 630994AE
an4pan4	1 5CB87554
an4qi1	2 6309671F 63A88BFF
an4qi4	1 66975668
an4qing1	1 5CB89752
an4qing2	1 684860C5
an4ran2	2 9EEF7136 5CB87136
an4ran2shi1se4	1 9EEF713659318272
an4se4	1 66978272
an4sha1	1 66976740
an4shang4	1 5CB84E0A
an4shi2	2 630965F6 597362DB5F85
an4shi4	2 6697793A 66975BA4
an4shuo1	1 63098BF4
an4suan4	1 66977B97
an4tai2	1 684853F0
an4tan4	1 669763A2
an4tou2	1 68485934
an4xi3	1 6697559C
an4xiang3	1 669760F3
an4xiao4	1 66977B11
an4xu1fen1pei4	1 630997005206914D
an4ya1	1 6309538B
an4ying1	1 5CB882F1
an4yu3	1 66978BED
an4zhao2	1 63097740
an4zhao4	1 63097167
an4zhong1	1 66974E2D
an4zhu4	1 63094F4F
an4zi	1 68485B50
an4zi4	1 669781EA
ang1	1  80AE
ang1zang1	1 80AE810F
ang2	1  6602
ang2gui4	1 66028D35
ang2ran2	1 66027136
ang2shou3kuo4bu4	1 6602999696146B65
ang4	1  76CE
ang4ran2	1 76CE7136
ao1	3  71AC 51F9 9D22
ao1tu2	1 51F951F8
ao1xian4	1 51F99677
ao2	13  71AC 9CCC 6556 55F7 7FF1 93D6 9068 87AF 7352 8071 5ED2 9F07 93D5
ao2bao1	1 65565305
ao2jian1	1 71AC714E
ao2te4heng2he4xi1ge2	1 6556727960528D3A5E0C683C
ao2you2	1 90686E38
ao2zhan4	1 93D66218
ao3	3  8884 5AAA 8779
ao4	10  5965 6FB3 50B2 61CA 62D7 5773 93CA 9A9C 5C99 8B38
ao4ben3hai3mo4	1 5965672C6D779ED8
ao4da4li4ya4	1 6FB3592752294E9A
ao4duo1nie4si1	1 5965591A6D8565AF
ao4en1	1 59656069
ao4fu1	1 5965592B
ao4hui3	1 61CA6094
ao4lin2pi3ke4	1 596567975339514B
ao4luo2zi1ge1	1 59657F57517954E5
ao4man4	1 50B26162
ao4men2	1 6FB395E8
ao4mi4	1 596579D8
ao4miao4	1 59655999
ao4na4xi1si1	1 59657EB3897F65AF
ao4nao3	1 61CA607C
ao4qi4	1 50B26C14
ao4ran2	1 50B27136
ao4ri4wa3	1 596565E574E6
ao4sang4	1 61CA4E27
ao4shi4	1 50B289C6
ao4si1ding4hui4	1 596565AF5B9A4F1A
ao4si1man4	1 596565AF66FC
ao4si1man4di4guo2	1 596565AF66FC5E1D56FD
ao4teng2	1 5965817E
ao4wei3hui4	1 596559D44F1A
ao4yun4hui4	1 59658FD04F1A
ao4zhou1	1 6FB36D32
ba	2  5427 7F62
ba1	13  516B 5427 5DF4 53ED 75A4 6252 82AD 7B06 7C91 634C 9C83 5C9C 91DF
ba1ba1tou2	2 625262525934 5DF45DF45934
ba1bai3	1 516B767E
ba1bai3wan4	1 516B767E4E07
ba1ban4	1 516B529E
ba1bao3shan1	1 516B5B9D5C71
ba1bi3lun2	1 5DF46BD44F26
ba1bu4de	1 5DF44E0D5F97
ba1cheng2	1 516B6210
ba1da2	1 53ED54D2
ba1da4	1 516B5927
ba1dian3	1 516B70B9
ba1duo1li4te4	1 5DF4591A52297279
ba1er2gou3	2 5DF4513F72D7 53ED513F72D7
ba1er3xi1	1 5DF45C145E0C
ba1er3zha1ke4	1 5DF45C14624E514B
ba1er4	1 516B4E8C
ba1fang1	1 516B65B9
ba1fang1zhi1yuan2	1 516B65B9652F63F4
ba1fu3luo4fu1	1 5DF4752B6D1B592B
ba1gua4	1 516B5366
ba1gua4jiao4	1 516B53666559
ba1gua4zhang3	1 516B5366638C
ba1guai3	1 516B62D0
ba1ha1	1 5DF454C8
ba1he4	1 5DF48D6B
ba1he4sheng4le4	1 5DF48D6B57234E50
ba1hen2	1 75A475D5
ba1ji1si1tan3	1 5DF457FA65AF5766
ba1jiao1	1 82AD8549
ba1jiao3	1 516B89D2
ba1jie2	1 5DF47ED3
ba1jie3	1 5DF489E3
ba1jie3zu3zhi1	1 5DF489E37EC47EC7
ba1jin1	1 5DF491D1
ba1jiu3	1 516B4E5D
ba1ka3	1 53ED54AF
ba1kai1	1 62525F00
ba1ke4	1 5DF4514B
ba1ku4	1 5DF45E93
ba1la4miao4	1 53ED87215E99
ba1le4si1tan3	1 5DF452D265AF5766
ba1lei3	1 82AD857E
ba1lei3wu3	1 82AD857E821E
ba1lei3wu3tuan2	1 82AD857E821E56E2
ba1li2	1 5DF49ECE
ba1li2gong1she4	1 5DF49ECE516C793E
ba1li3	1 516B91CC
ba1li3xiang1	1 516B91CC4E61
ba1li4	1 82AD7C92
ba1liang3	1 516B4E24
ba1lin2	1 5DF46797
ba1lu4	1 516B8DEF
ba1lu4hu2tong4	1 516B8DEF80E1540C
ba1lu4jun1	1 516B8DEF519B
ba1luo4ke4	1 5DF46D1B514B
ba1ma1	1 5DF45988
ba1meng2wu1la1te4qian2qi2	1 5DF476DF4E4C62C97279524D65D7
ba1mian4ling2long2	1 516B976273B273D1
ba1na2ma3	1 5DF462FF9A6C
ba1pan2xia2	1 516B76D85CE1
ba1pu4jie1	1 516B94FA8857
ba1qi1	1 516B4E03
ba1qi2	1 516B65D7
ba1qian1	1 516B5343
ba1qian1jiu3bai3	1 516B53434E5D767E
ba1qian1qi1bai3yi4	1 516B53434E03767E4EBF
ba1qian1yi4	1 516B53434EBF
ba1shi2	2 516B5341 516B65F6
ba1shi2er4	1 516B53414E8C
ba1shi2liu4	1 516B5341516D
ba1shi2yi1	1 516B53414E00
ba1shi4	1 5DF458EB
ba1shi4la1	1 5DF458EB62C9
ba1shu3	1 5DF48700
ba1shui3	1 5DF46C34
ba1si1ba1feng1	1 516B601D5DF45C01
ba1ta4	1 53ED55D2
ba1tiao2	1 516B6761
ba1wang4	2 5DF4671B 5DF465FA
ba1wu3	1 516B4E94
ba1xi1	1 5DF4897F
ba1xian1	1 516B4ED9
ba1xian1zhuo1	1 516B4ED9684C
ba1yi1	1 516B4E00
ba1yi1quan2	1 516B4E006CC9
ba1yi4	1 516B4EBF
ba1yue4	1 516B6708
ba1zhang3	1 5DF4638C
ba1zi4	1 516B5B57
ba2	8  62D4 8DCB 9B43 83DD 8307 91DB 8EF7 9F25
ba2bo1	1 8DCB6CE2
ba2chu2	1 62D49664
ba2di4er2qi3	1 62D45730800C8D77
ba2diao4	1 62D46389
ba2jian1	1 62D45C16
ba2jian4	1 62D45251
ba2jie2	1 62D48282
ba2mao2	1 62D4951A
ba2miao2zhu4zhang3	1 62D482D752A9957F
ba2shan1she4shui3	1 8DCB5C716D896C34
ba2she4	1 8DCB6D89
ba2ti2	1 8DCB5824
ba2tui3	1 62D4817F
ba2ya2	1 62D47259
ba3	3  628A 9776 94AF
ba3ba3	1 94AF94AF
ba3chi2	1 628A6301
ba3duo4	1 628A8235
ba3er2	1 628A513F
ba3jiu3	1 628A9152
ba3men2	1 628A95E8
ba3shou3	2 628A624B 628A5B88
ba3tou2	1 628A5934
ba3wan2	1 628A73A9
ba3wo4	2 628A63E1 554A5440
ba3xi4	1 628A620F
ba3xiong1di4	1 628A51445F1F
ba3zi	1 628A5B50
ba4	11  628A 7238 7F62 9738 575D 8019 9C85 705E 9C8C 8987 8DC1
ba4ba4	1 72387238
ba4gong1	1 7F625DE5
ba4ke4	1 7F628BFE
ba4le	1 7F624E86
ba4quan2	1 97386743
ba4quan2zhu3yi4	1 973867434E3B4E49
ba4shang4	1 575D4E0A
ba4ti2	1 575D5824
ba4xiu1	1 7F624F11
ba4zhan4	1 97385360
ba4zhi3	1 575D5740
ba4zhu3	1 97384E3B
bada2	1 542754D2
bai1	1  63B0
bai1kai1	1 63B05F00
bai2	1  767D
bai2bai2	1 767D767D
bai2bu4	1 767D5E03
bai2cai4	1 767D83DC
bai2chi1	2 767D5403 767D75F4
bai2chi4deng1	1 767D70BD706F
bai2dan4bai2	1 767D86CB767D
bai2di4cheng2	1 767D5E1D57CE
bai2dian3	1 767D70B9
bai2e2luo2si1	1 767D4FC47F5765AF
bai2fa3	1 767D53D1
bai2fa3cang1cang1	1 767D53D182CD82CD
bai2fan4	1 767D996D
bai2fen3	1 767D7C89
bai2gong1	1 767D5BAB
bai2gu2	1 767D9AA8
bai2guang1	1 767D5149
bai2hao2	1 767D9E64
bai2hua1	1 767D82B1
bai2hua2	1 767D6866
bai2hua4	1 767D8BDD
bai2hua4wen2	1 767D8BDD6587
bai2jing4	1 767D51C0
bai2jiu3	1 767D9152
bai2kai1shui3	1 767D5F006C34
bai2lan2di4jiu3	1 767D517057309152
bai2lan2hua1	1 767D517082B1
bai2lian2	1 767D83B2
bai2lian2jiao4	1 767D83B26559
bai2long2dui1	1 767D9F995806
bai2lu4	1 767D9E6D
bai2luo2bo2	1 767D841D535C
bai2ma3	1 767D9A6C
bai2ma3cang2ren2	1 767D9A6C85CF4EBA
bai2ma3wang2zi	1 767D9A6C738B5B50
bai2mang2mang2	1 767D832B832B
bai2meng2meng2	1 767D84998499
bai2mi3fan4	1 767D7C73996D
bai2mian4	1 767D9762
bai2mian4shu1sheng1	1 767D97624E66751F
bai2mo4	1 767D6CAB
bai2nei4zhang4	1 767D5185969C
bai2nen4	1 767D5AE9
bai2pao2	1 4E0A73ED65CF
bai2qi2	1 767D65D7
bai2ren2	1 767D4EBA
bai2ri4	1 767D65E5
bai2ri4meng4	1 767D65E568A6
bai2ri4zuo4meng4	1 767D65E5505A68A6
bai2se4	1 767D8272
bai2se4kong3bu4	1 767D827260506016
bai2se4mian2	1 767D827268C9
bai2sha1tang2	1 767D78027CD6
bai2shui3	1 767D6C34
bai2su4	1 767D7D20
bai2ta3	1 767D5854
bai2ta3si4	1 767D58545BFA
bai2tang2	1 767D7CD6
bai2tian1	1 767D5929
bai2tian1e2	1 767D59299E45
bai2tou2xie2lao3	1 767D593450558001
bai2tu3	1 767D571F
bai2tu3gang1xiang1	1 767D571F5C974E61
bai2tu4	1 767D5154
bai2xi1	1 767D7699
bai2xi4bao1	1 767D7EC680DE
bai2xiang1shan1	1 767D99995C71
bai2xie3bing4	1 767D884075C5
bai2xue3	1 767D96EA
bai2yan3	1 767D773C
bai2yang2	2 767D6768 767D9633
bai2yao4	1 767D836F
bai2yi1	1 767D8863
bai2yi1tian1shi3	1 767D886359294F7F
bai2yi1zhan4shi4	1 767D8863621858EB
bai2yu4	1 767D7389
bai2yun2	1 767D4E91
bai2yun2shan1	1 767D4E915C71
bai2zhi2	1 767D8D28
bai2zhi3	1 767D7EB8
bai2zhi3hei1zi4	1 767D7EB89ED15B57
bai2zhi3tiao2	1 767D7EB86761
bai2zhou4	1 767D663C
bai2zi4	1 767D5B57
bai2zu2	1 767D65CF
bai3	5  767E 6446 67CF 4F70 636D
bai3ba1shi2	1 767E516B5341
bai3ba1yi1	1 767E516B4E00
bai3bai3shou3	1 64466446624B
bai3ban1	1 767E822C
bai3bei4	1 767E500D
bai3bu4	1 64465E03
bai3dong4	1 644652A8
bai3du4	1 64466E21
bai3fa1bai3zhong1	1 767E53D1767E4E2D
bai3fang4	1 6446653E
bai3fei4dai4xing4	1 767E5E9F5F855174
bai3fen1	1 767E5206
bai3fen1dian3	1 767E520670B9
bai3fen1luu4	1 767E52067387
bai3fen1zhi1	1 767E52064E4B
bai3fen1zhi1ba1dian3jiu3liu4	1 767E52064E4B516B70B94E5D516D
bai3fen1zhi1ba1shi2	1 767E52064E4B516B5341
bai3fen1zhi1bai3	1 767E52064E4B767E
bai3fen1zhi1er4	1 767E52064E4B4E8C
bai3fen1zhi1er4dian3liu4	1 767E52064E4B4E8C70B9516D
bai3fen1zhi1er4dian3qi1	1 767E52064E4B4E8C70B94E03
bai3fen1zhi1er4dian3san1	1 767E52064E4B4E8C70B94E09
bai3fen1zhi1er4dian3si4	1 767E52064E4B4E8C70B956DB
bai3fen1zhi1er4dian3wu3	1 767E52064E4B4E8C70B94E94
bai3fen1zhi1er4qian1wu3bai3	1 767E52064E4B4E8C53434E94767E
bai3fen1zhi1er4san1shi2	1 767E52064E4B4E8C4E095341
bai3fen1zhi1er4shi2	1 767E52064E4B4E8C5341
bai3fen1zhi1er4shi2si4	1 767E52064E4B4E8C534156DB
bai3fen1zhi1er4shi2wu3	1 767E52064E4B4E8C53414E94
bai3fen1zhi1er4shi2wu3dian3si4	1 767E52064E4B4E8C53414E9470B956DB
bai3fen1zhi1er4shi2wu3dian3wu3	1 767E52064E4B4E8C53414E9470B94E94
bai3fen1zhi1jiu3	1 767E52064E4B4E5D
bai3fen1zhi1jiu3shi2	1 767E52064E4B4E5D5341
bai3fen1zhi1jiu3shi2jiu3dian3jiu3	1 767E52064E4B4E5D53414E5D70B94E5D
bai3fen1zhi1jiu3shi2san1dian3liu4	1 767E52064E4B4E5D53414E0970B9516D
bai3fen1zhi1jiu3shi2wu3	1 767E52064E4B4E5D53414E94
bai3fen1zhi1ling2dian3wu3	1 767E52064E4B96F670B94E94
bai3fen1zhi1liu4	1 767E52064E4B516D
bai3fen1zhi1liu4shi2	1 767E52064E4B516D5341
bai3fen1zhi1qi1	1 767E52064E4B4E03
bai3fen1zhi1qi1ba1shi2	1 767E52064E4B4E03516B5341
bai3fen1zhi1qi1dian3wu3	1 767E52064E4B4E0370B94E94
bai3fen1zhi1qi1shi2	1 767E52064E4B4E035341
bai3fen1zhi1qi1shi2jiu3dian3san1	1 767E52064E4B4E0353414E5D70B94E09
bai3fen1zhi1qi1shi2si4	1 767E52064E4B4E03534156DB
bai3fen1zhi1qi1shi2wu3	1 767E52064E4B4E0353414E94
bai3fen1zhi1san1	1 767E52064E4B4E09
bai3fen1zhi1san1dian3er4	1 767E52064E4B4E0970B94E8C
bai3fen1zhi1san1dian3liu4	1 767E52064E4B4E0970B9516D
bai3fen1zhi1san1shi2	1 767E52064E4B4E095341
bai3fen1zhi1san1shi2si4	1 767E52064E4B4E09534156DB
bai3fen1zhi1san1shi2wu3	1 767E52064E4B4E0953414E94
bai3fen1zhi1shi2	1 767E52064E4B5341
bai3fen1zhi1shi2dian3ba1	1 767E52064E4B534170B9516B
bai3fen1zhi1shi2wu3dian3wu3	1 767E52064E4B53414E9470B94E94
bai3fen1zhi1si4shi2	1 767E52064E4B56DB5341
bai3fen1zhi1si4shi2wu3	1 767E52064E4B56DB53414E94
bai3fen1zhi1si4shi2yi1	1 767E52064E4B56DB53414E00
bai3fen1zhi1wu3	1 767E52064E4B4E94
bai3fen1zhi1wu3dian3qi1jiu3	1 767E52064E4B4E9470B94E034E5D
bai3fen1zhi1wu3dian3wu3	1 767E52064E4B4E9470B94E94
bai3fen1zhi1wu3shi2	1 767E52064E4B4E945341
bai3fen1zhi1wu3shi2ba1	1 767E52064E4B4E945341516B
bai3fen1zhi1yi1	1 767E52064E4B4E00
bai3fen1zhi1yi1dian3liu4	1 767E52064E4B4E0070B9516D
bai3fen1zhi1yi1miao3	1 767E52064E4B4E0079D2
bai3gan3jiao1ji2	1 767E611F4EA496C6
bai3he2	1 767E5408
bai3he2hua1	1 767E540882B1
bai3hua1	1 767E82B1
bai3hua1gu3	1 767E82B18C37
bai3hua1jiao4	1 767E82B16559
bai3hua1qi2fang4	1 767E82B19F50653E
bai3huo4	1 767E8D27
bai3huo4da4lou2	1 767E8D275927697C
bai3huo4dian4	1 767E8D275E97
bai3huo4gong1si1	1 767E8D27516C53F8
bai3huo4shang1dian4	1 767E8D2755465E97
bai3jia1fan4	1 767E5BB6996D
bai3jia1zheng1ming2	1 767E5BB64E899E23
bai3kai1	1 64465F00
bai3ke1quan2shu1	1 767E79D151684E66
bai3lei2tai2	1 644664C253F0
bai3li3	1 767E91CC
bai3ling2	1 767E7075
bai3long2men2zhen4	1 64469F9995E89635
bai3mu4da4	1 767E61555927
bai3nian2	1 767E5E74
bai3nian2bu4yu4	1 767E5E744E0D9047
bai3nian2shu4ren2	1 767E5E7468114EBA
bai3nian2zhi1hao3	1 767E5E744E4B597D
bai3nong4	1 64465F04
bai3ri4	1 767E65E5
bai3ri4ke2	1 767E65E554B3
bai3she4	1 64468BBE
bai3shi2	1 767E5341
bai3shi4	1 64465F0F
bai3shi4ke3le4	1 767E4E8B53EF4E50
bai3shou3	1 6446624B
bai3si1bu4deqi2jie3	1 767E601D4E0D5F97517689E3
bai3tan1	1 6446644A
bai3tan1zi	1 6446644A5B50
bai3tuo1	1 64468131
bai3wan4	1 767E4E07
bai3wu2liao2lai4	1 767E65E0804A8D56
bai3xing4	1 767E59D3
bai3xing4jia1	1 767E59D35BB6
bai3ye4	1 767E53F6
bai3ye4dai4xing4	1 767E4E1A5F855174
bai3zhan4bai3sheng4	1 767E6218767E80DC
bai3zhan4bu4dai4	1 767E62184E0D6B86
bai3zhe2bu4nao2	1 767E62984E0D6320
bai3zheng4	1 64466B63
bai4	8  8D25 62DC 5457 7A17 636D 7CBA 8D01 85AD
bai4bai4	1 62DC62DC
bai4bei3	1 8D255317
bai4dao4	1 62DC5012
bai4du2	1 62DC8BFB
bai4fang3	1 62DC8BBF
bai4fo2	1 62DC4F5B
bai4huai4	1 8D25574F
bai4huo3	1 8D25706B
bai4jian4	1 62DC89C1
bai4ju2	1 8D255C40
bai4lei4	1 8D257C7B
bai4lu4	1 8D259732
bai4nian2	1 62DC5E74
bai4shi1	1 62DC5E08
bai4tui4	1 8D259000
bai4tuo1	1 62DC6258
bai4xie4	1 62DC8C22
bai4xing4	1 8D255174
ban1	10  822C 73ED 642C 6591 9881 6273 7622 764D 7C53 8781
ban1bai2	1 6591767D
ban1ban1	1 65916591
ban1ban1bo2bo2	1 659165919A739A73
ban1ban1lan2lan2	1 6591659165936593
ban1bo1	1 65915265
ban1bo2	1 65919A73
ban1bu4	1 98815E03
